S.no,Time,Ratings,Ranking
1,2021-12-22 13:25:18.468079+05:30,141,30
2,2021-12-22 14:20:48.676194+05:30,141,33
3,2021-12-22 14:28:18.345952+05:30,141,33
9,2021-12-22 15:01:15.322002+05:30,141,33
10,2021-12-22 15:02:28.492022+05:30,141,33
11,2021-12-22 15:34:15.390204+05:30,141,33
12,2021-12-22 17:12:15.961880+05:30,141,33
13,2021-12-22 17:14:38.654256+05:30,141,33
14,2021-12-22 17:44:15.383637+05:30,141,33
15,2021-12-22 18:14:13.530770+05:30,141,33
17,2021-12-22 19:14:13.579284+05:30,141,39
19,2021-12-22 21:14:15.357987+05:30,141,39
21,2021-12-22 23:44:13.973885+05:30,141,47
22,2021-12-23 12:07:00.695692+05:30,141,28
23,2021-12-23 12:36:37.774047+05:30,141,28
25,2021-12-23 14:06:35.904966+05:30,141,28
26,2021-12-23 14:36:38.835099+05:30,141,28
27,2021-12-23 15:06:36.040633+05:30,141,28
28,2021-12-23 15:36:35.450752+05:30,141,28
30,2021-12-23 16:36:36.855314+05:30,141,38
31,2021-12-23 17:06:35.233404+05:30,141,38
33,2021-12-23 18:06:36.632443+05:30,141,38
